country_name,day,links,pdf_count,update
,,,,
Chile,11-04-2023,"['https://www.trade.gov/country-commercial-guides/chile-safety-and-security', 'https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Chile_NCSP%20%28ENG%29.pdf', 'https://www.privacyshield.gov/article?id=Chile-Safety-and-Security']",3,
Italy,12-04-2023,"['https://www.trade.gov/country-commercial-guides/italy-cybersecurity', 'https://www.esteri.it/mae/resource/doc/2019/09/esteri_cibersecurity_web.pdf', 'https://www.sicurezzanazionale.gov.it/sisr.nsf/wp-content/uploads/2014/02/italian-national-strategic-framework-for-cyberspace-security.pdf', 'https://www.sicurezzanazionale.gov.it/sisr.nsf/english/italian-national-cyber-strategy.html', 'https://www.acn.gov.it/ACN_EN_Strategia.pdf', 'https://www.privacyshield.gov/article?id=Italy-Cybersecurity', 'https://www.cybersecitalia.it/italys-national-cyber-strategy-handle-with-more-care%EF%BF%BC/19635/']",7,
,,,,
Belgium,13-04-2023,"['https://ccb.belgium.be/sites/default/files/CCB_Strategie%202.0_UK_WEB.pdf', 'https://www.law.kuleuven.be/citip/blog/belgium-reboots-cyber-strategy/']",2,no
,,,,
Hong Kong,14-04-2023,['https://www.ogcio.gov.hk/en/our_work/information_cyber_security/government/'],1,no
canada,15-04-2023,['https://www.international.gc.ca/world-monde/issues_development-enjeux_developpement/peace_security-paix_securite/cyber_policy-politique_cyberspace.aspx?lang=eng'],1,no
Australia,17-04-2023,"['https://business.gov.au/online/cyber-security/create-a-cyber-security-policy', 'https://www.homeaffairs.gov.au/about-us/our-portfolios/cyber-security/strategy','https://www.cyber.gov.au/acsc/view-all-content/ism/cyber-security-guidelines']",3,no
Singapore,18-04-2023,"['https://www.mfa.gov.sg/SINGAPORES-FOREIGN-POLICY/International-Issues/Cybersecurity', 'https://www.csa.gov.sg/News/Publications/singapore-cybersecurity-strategy-2021']",2,no
Brazil,18-04-2023,"['https://igarape.org.br/en/cybersecurity-in-brazil-an-analysis-of-the-national-strategy/', 'https://igarape.org.br/en/deconstructing-cyber-security-in-brazil-threats-and-responses/', 'https://www.internetgovernance.org/2020/04/05/brazils-first-national-cybersecurity-strategy-an-analysis-of-its-past-present-and-future/']
",3,no
Italy,19-04-2023,"['https://www.trade.gov/country-commercial-guides/italy-cybersecurity', 'https://www.esteri.it/mae/resource/doc/2019/09/esteri_cibersecurity_web.pdf', 'https://www.sicurezzanazionale.gov.it/sisr.nsf/wp-content/uploads/2014/02/italian-national-strategic-framework-for-cyberspace-security.pdf', 'https://www.sicurezzanazionale.gov.it/sisr.nsf/english/italian-national-cyber-strategy.html', 'https://www.acn.gov.it/ACN_EN_Strategia.pdf']",5,no
Chile,19-04-2023,"['https://www.trade.gov/country-commercial-guides/chile-safety-and-security', 'https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Chile_NCSP%20%28ENG%29.pdf', 'https://www.privacyshield.gov/article?id=Chile-Safety-and-Security']",3,no
Austria,"02-05-2023['https://trigos.at/wp-content/uploads/2021/12/TRIGOS-Abschlussbericht-2016.pdf', 'https://www.businessart.at/images/doku/businessart-2017-01-tourismus.pdf', 'https://www.oerok.gv.at/fileadmin/Bilder/2.Reiter-Raum_u._Region/1.OEREK/OEREK_2011/PS_Orts_Stadtkerne/Fachempfehlung_FINAL_2019-09.pdf', 'https://www.unglobalcompact.org/docs/issues_doc/development/SDG_Compass_German.pdf' ]",,4,no
